Data_da_Ocorrencia;Hora_da_Ocorrencia;Municipio;UF;Regiao;Descricao_do_Tipo;ICAO
06/12/2020;13:30;SANTA VITÓRIA DO PALMAR;RS;Sul;COMBUSTÍVEL;Fora de Aeródromo
24/01/2021;11:50;SALVADOR;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBSV
23/01/2021;15:30;GUARULHOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGR
08/02/2021;11:20;SÃO GABRIEL;RS;Sul;OPERAÇÃO A BAIXA ALTITUDE;Fora de Aeródromo
16/02/2021;11:30;SÃO DESIDÉRIO;BA;Nordeste;PERDA DE CONTROLE EM VOO;APUA
28/12/2020;10:15;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMT
18/02/2021;09:40;MARINGÁ;PR;Sul;COMBUSTÍVEL;Fora de Aeródromo
27/05/2020;15:16;Rio de Janerio;RJ;Sudeste;PERDA DE CONTROLE EM VOO;SBJR
24/05/2020;09:46;Guarulhos;SP;Sudeste;COLISÃO NO SOLO;SBGR
14/02/2021;19:30;CABO FRIO;RJ;Sudeste;OPERAÇÕES NO SOLO;SBCB
22/01/2021;12:11;CAMPINAS;SP;Sudeste;OPERAÇÕES NO SOLO;SBKP
15/02/2021;19:40;PORTO ALEGRE;RS;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBPA
24/05/2020;09:46;Guarulhos;SP;Sudeste;COLISÃO NO SOLO;SBGR
14/01/2021;03:58;GUARULHOS;SP;Sudeste;OPERAÇÕES NO SOLO;SBGR
17/02/2021;00:15;RIO DE JANEIRO;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGL
26/04/2020;13:00;Curitiba;PR;Sul;OUTROS;SBBI
19/05/2020;10:00;Pacajá;PA;Norte;OPERAÇÃO A BAIXA ALTITUDE;APUA
16/05/2020;17:20;Recife;PE;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
22/05/2020;15:20;Irauçuba;CE;Nordeste;COMBUSTÍVEL;Fora de Aeródromo
18/06/2020;15:15;RIBEIRÃO PRETO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBRP
02/08/2020;20:30;CURITIBA;PR;Sul;EXCURSÃO DE PISTA;SBBI
31/07/2020;12:20;BELÉM;PA;Norte;COLISÃO COM AVE;Fora de Aeródromo
03/08/2020;18:20;BAURU;SP;Sudeste;PERDA DE CONTROLE NO SOLO;SBBU
25/07/2020;18:50;PICOS;PI;Nordeste;CONTATO ANORMAL COM A PISTA;SNPC
25/07/2020;18:50;PICOS;PI;Nordeste;EXCURSÃO DE PISTA;SNPC
08/09/2020;21:00:00;SANTA ROSA;RS;Sul;COLISÃO NO SOLO;SSZR
06/09/2020;18:00;BOITUVA;SP;Sudeste;OPERAÇÕES NO SOLO;SDOI
10/09/2020;10:45;BRASÍLIA;DF;Centro-Oeste;OUTROS;SBBR
28/11/2020;12:50;CATANDUVA;SP;Sudeste;EXCURSÃO DE PISTA;SDCD
29/11/2020;10:00;QUIRINÓPOLIS;GO;Centro-Oeste;PERDA DE CONTROLE NO SOLO;Fora de Aeródromo
19/11/2020;20:27;SÃO PAULO;SP;Sudeste;OUTROS;SBMT
26/11/2020;20:10;BELO HORIZONTE;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBBH
30/11/2020;18:00;POCONÉ;MT;Centro-Oeste;PERDA DE CONTROLE EM VOO;Fora de Aeródromo
20/11/2020;00:15;BRASÍLIA;DF;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBR
28/10/2020;16:15;RIBEIRÃO PRETO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBRP
30/11/2020;17:00;GUARULHOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGR
09/05/2020;19:36;Campinas;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBKP
16/06/2020;09:45;BELO HORIZONTE;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBH
14/06/2020;12:35;TANGARÁ DA SERRA;MT;Centro-Oeste;INDETERMINADO;Fora de Aeródromo
14/06/2020;12:35;TANGARÁ DA SERRA;MT;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
12/06/2020;17:35;BAURU;SP;Sudeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;Fora de Aeródromo
17/06/2020;18:30;CAMPO MAGRO;PR;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
10/07/2020;13:00;CURRALINHO;PA;Norte;EXCURSÃO DE PISTA;Aeródromo não cadastrado
20/07/2020;16:30;CHAPADÃO DO SUL;MS;Centro-Oeste;EXCURSÃO DE PISTA;SDRV
06/08/2020;20:55;SÃO JOSÉ DO RIO PRETO;SP;Sudeste;EXCURSÃO DE PISTA;SBSR
08/07/2020;21:09;SÃO PAULO ;SP;Sudeste;PERDA DE CONTROLE EM VOO;Fora de Aeródromo
08/07/2020;21:09;SÃO PAULO ;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;Fora de Aeródromo
16/07/2020;13:30;ÁLVARES MACHADO;SP;Sudeste;OUTROS;SDEM
12/08/2020;16:33;MACAPÁ;AM;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMQ
30/06/2020;14:25;RIO DE JANEIRO ;RJ;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBJR
24/06/2020;02:00;VITÓRIA;ES;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
05/07/2020;17:16;RIBEIRÃO PRETO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBRP
04/07/2020;12:05:00;CAJATI;SP;Sudeste;PERDA DE CONTROLE EM VOO;Fora de Aeródromo
25/06/2020;16:00;CAMPINAS;SP;Sudeste;OPERAÇÕES NO SOLO;SBKP
21/10/2020;14:40;CARAZINHO;RS;Sul;MANOBRA ABRUPTA;SSKZ
30/07/2020;17:13;SANTARÉM;PA;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBSN
12/08/2020;14:19;BELÉM;PA;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBE
13/08/2020;11:50;JUNDIAÍ;SP;Sudeste;EXCURSÃO DE PISTA;SBJD
12/08/2020;14:20;SÃO PAULO;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGR
09/08/2020;12:00;SINOP;MT;Centro-Oeste;PERDA DE CONTROLE EM VOO;SJAK
03/10/2020;16:35;LONDRINA;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBLO
10/10/2020;13:30:00;POCONÉ;MT;Centro-Oeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;Fora de Aeródromo
07/10/2020;14:55:00;PIRAQUARA;PR;Sul;OPERAÇÃO A BAIXA ALTITUDE;SISY
07/10/2020;14:55:00;PIRAQUARA;PR;Sul;PERDA DE CONTROLE EM VOO;SISY
01/02/2020;16:00;IGARASSU;PE;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SIFC
13/10/2020;18:45;CUIABÁ;MT;Centro-Oeste;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;Fora de Aeródromo
13/10/2020;18:45;CUIABÁ;MT;Centro-Oeste;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;Fora de Aeródromo
14/10/2020;12:06;SÃO JOSÉ DOS CAMPOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBSJ
21/10/2020;13:47;MARINGÁ;PR;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBMG
30/10/2020;12:17;BELÉM;PA;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBE
26/10/2020;16:44;JOINVILLE;SC;Sul;COLISÃO COM AVE;SBJV
30/10/2020;14:00;BRASÍLIA;DF;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SSGP
30/10/2020;14:00;BRASÍLIA;DF;Centro-Oeste;EXCURSÃO DE PISTA;SSGP
30/10/2020;14:00;BRASÍLIA;DF;Centro-Oeste;PERDA DE CONTROLE NO SOLO;SSGP
28/10/2020;12:25;ALTO ALEGRE;RR;Norte;INDETERMINADO;Fora de Aeródromo
05/11/2020;16:30;TAPES;RS;Sul;MANOBRA ABRUPTA;Fora de Aeródromo
06/11/2020;18:15;VITÓRIA;ES;Sudeste;OPERAÇÕES NO SOLO;SBVT
04/11/2020;16:18;PORTO SEGURO;BA;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBPS
01/11/2020;18:20;PORTO ALEGRE;RS;Sul;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBPA
08/08/2019;20:40:00;TERESINA;PI;Nordeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;Fora de Aeródromo
17/12/2020;17:13;Belo Horizonte;MG;Sudeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBBH
11/11/2020;01:20;RIO DE JANEIRO;RJ;Sudeste;OUTROS;SBGL
12/11/2020;19:30;BELÉM;PA;Norte;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBE
16/11/2020;14:15;VILA BELA DA SANTÍSSIMA TRINDADE;MT;Centro-Oeste;INDETERMINADO;Fora de Aeródromo
13/12/2020;16:15;SÃO JOSÉ DOS PINHAIS;PR;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SSUL
06/11/2020;14:30;SÃO FRANCISCO DO SUL;SC;Sul;COM CARGAS EXTERNAS;Fora de Aeródromo
17/11/2020;16:00;GUARULHOS;SP;Sudeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBGR
16/11/2020;01:40;FLORIANÓPOLIS;SC;Sul;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBFL
09/12/2020;19:50;Macaúba;MS;Centro-Oeste;OPERAÇÃO A BAIXA ALTITUDE;Fora de Aeródromo
26/11/2020;10:28;BRASÍLIA;DF;Centro-Oeste;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SBBR
06/11/2020;14:57;ANANINDEUA;PA;Norte;OUTROS;SBBE
15/12/2020;18:00;TAILÂNDIA;PA;Norte;OUTROS;Fora de Aeródromo
03/12/2020;14:42:00;SÃO PAULO;SP;Sudeste;INCURSÃO EM PISTA;SBSP
03/12/2020;14:42:00;SÃO PAULO;SP;Sudeste;INCURSÃO EM PISTA;SBSP
16/12/2020;20:30;itumbiara;GO;Centro-Oeste;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;Fora de Aeródromo
17/12/2020;14:26;Rio Largo;AL;Nordeste;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SBMO
